Region,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,Dependancy ratio
WORLD,1950,  341 877,  267 731,  258 081,  237 173,  220 116,  193 645,  163 243,  159 122,  144 039,  125 354,  104 545,  85 394,  70 797,  53 123,  36 653,  22 441,  10 870,  3 977,   969,   160,   14,66.24174292
WORLD,1951,  356 601,  271 481,  259 192,  240 518,  223 052,  197 695,  166 848,  159 048,  146 024,  127 603,  106 945,  87 046,  71 418,  53 924,  37 034,  22 701,  10 913,  3 959,   967,   147,   16,66.63198761
WORLD,1952,  370 487,  278 772,  259 555,  244 720,  225 201,  202 217,  171 505,  158 110,  148 027,  129 731,  109 466,  89 000,  71 930,  54 969,  37 522,  22 937,  11 037,  3 957,   967,   145,   16,67.12421223
WORLD,1953,  384 396,  288 553,  259 638,  248 515,  226 815,  206 840,  177 386,  156 600,  150 016,  132 002,  111 938,  91 231,  72 475,  56 236,  38 145,  23 140,  11 246,  3 973,   973,   144,   16,67.76258434
WORLD,1954,  396 316,  301 220,  260 539,  251 194,  228 856,  210 933,  183 306,  155 909,  151 695,  134 509,  114 461,  93 358,  73 358,  57 461,  38 867,  23 380,  11 452,  4 022,   982,   145,   15,68.50379104
WORLD,1955,  406 951,  316 528,  262 423,  253 025,  231 320,  214 719,  187 937,  157 729,  152 614,  136 823,  117 029,  95 514,  74 746,  58 408,  39 649,  23 720,  11 677,  4 099,   997,   150,   15,69.35842613
WORLD,1956,  416 566,  331 526,  266 344,  254 209,  234 613,  217 776,  192 105,  161 545,  152 607,  138 932,  119 369,  97 887,  76 500,  59 126,  40 490,  24 127,  11 932,  4 168,  1 009,   155,   15,70.21747854
WORLD,1957,  425 583,  345 797,  273 813,  254 604,  238 677,  219 874,  196 713,  166 301,  151 756,  141 031,  121 486,  100 385,  78 478,  59 688,  41 473,  24 577,  12 173,  4 263,  1 023,   159,   15,71.20100369
WORLD,1958,  433 662,  358 412,  284 780,  255 203,  242 076,  221 912,  201 253,  172 034,  150 430,  142 921,  123 730,  102 884,  80 698,  60 263,  42 712,  25 094,  12 384,  4 412,  1 060,   173,   16,72.23073027
WORLD,1959,  437 118,  369 616,  297 908,  256 351,  244 823,  223 958,  205 245,  177 744,  149 763,  144 654,  126 071,  105 416,  82 625,  61 126,  43 775,  25 638,  12 594,  4 552,  1 109,   188,   19,73.02835748
WORLD,1960,  436 018,  380 182,  312 060,  257 685,  247 526,  225 703,  209 030,  182 243,  151 400,  145 467,  128 287,  107 609,  84 442,  62 265,  44 385,  26 114,  12 805,  4 660,  1 142,   190,   20,73.57997986
WORLD,1961,  434 590,  388 984,  325 670,  261 404,  249 508,  228 447,  212 161,  186 437,  155 099,  145 163,  130 307,  109 644,  86 448,  63 710,  44 911,  26 675,  13 041,  4 789,  1 169,   192,   21,73.88297755
