,Region,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,Dependancy ratio
0,WORLD,1950,  341 877,  267 731,  258 081,  237 173,  220 116,  193 645,  163 243,  159 122,  144 039,  125 354,  104 545,  85 394,  70 797,  53 123,  36 653,  22 441,  10 870,  3 977,   969,   160,14,66.24174292
1,WORLD,1951,  356 601,  271 481,  259 192,  240 518,  223 052,  197 695,  166 848,  159 048,  146 024,  127 603,  106 945,  87 046,  71 418,  53 924,  37 034,  22 701,  10 913,  3 959,   967,   147,16,66.63198761
2,WORLD,1952,  370 487,  278 772,  259 555,  244 720,  225 201,  202 217,  171 505,  158 110,  148 027,  129 731,  109 466,  89 000,  71 930,  54 969,  37 522,  22 937,  11 037,  3 957,   967,   145,16,67.12421223
3,WORLD,1953,  384 396,  288 553,  259 638,  248 515,  226 815,  206 840,  177 386,  156 600,  150 016,  132 002,  111 938,  91 231,  72 475,  56 236,  38 145,  23 140,  11 246,  3 973,   973,   144,16,67.76258434
4,WORLD,1954,  396 316,  301 220,  260 539,  251 194,  228 856,  210 933,  183 306,  155 909,  151 695,  134 509,  114 461,  93 358,  73 358,  57 461,  38 867,  23 380,  11 452,  4 022,   982,   145,15,68.50379104
5,WORLD,1955,  406 951,  316 528,  262 423,  253 025,  231 320,  214 719,  187 937,  157 729,  152 614,  136 823,  117 029,  95 514,  74 746,  58 408,  39 649,  23 720,  11 677,  4 099,   997,   150,15,69.35842613
6,WORLD,1956,  416 566,  331 526,  266 344,  254 209,  234 613,  217 776,  192 105,  161 545,  152 607,  138 932,  119 369,  97 887,  76 500,  59 126,  40 490,  24 127,  11 932,  4 168,  1 009,   155,15,70.21747854
7,WORLD,1957,  425 583,  345 797,  273 813,  254 604,  238 677,  219 874,  196 713,  166 301,  151 756,  141 031,  121 486,  100 385,  78 478,  59 688,  41 473,  24 577,  12 173,  4 263,  1 023,   159,15,71.20100369
8,WORLD,1958,  433 662,  358 412,  284 780,  255 203,  242 076,  221 912,  201 253,  172 034,  150 430,  142 921,  123 730,  102 884,  80 698,  60 263,  42 712,  25 094,  12 384,  4 412,  1 060,   173,16,72.23073027
9,WORLD,1959,  437 118,  369 616,  297 908,  256 351,  244 823,  223 958,  205 245,  177 744,  149 763,  144 654,  126 071,  105 416,  82 625,  61 126,  43 775,  25 638,  12 594,  4 552,  1 109,   188,19,73.02835748
10,WORLD,1960,  436 018,  380 182,  312 060,  257 685,  247 526,  225 703,  209 030,  182 243,  151 400,  145 467,  128 287,  107 609,  84 442,  62 265,  44 385,  26 114,  12 805,  4 660,  1 142,   190,20,73.57997986
11,WORLD,1961,  434 590,  388 984,  325 670,  261 404,  249 508,  228 447,  212 161,  186 437,  155 099,  145 163,  130 307,  109 644,  86 448,  63 710,  44 911,  26 675,  13 041,  4 789,  1 169,   192,21,73.88297755
12,WORLD,1962,  438 726,  397 182,  338 340,  269 267,  250 311,  232 214,  214 618,  191 028,  159 916,  144 202,  132 328,  111 848,  88 667,  65 462,  45 500,  27 420,  13 326,  4 915,  1 199,   194,22,74.24694649
13,WORLD,1963,  451 875,  404 572,  350 604,  279 887,  250 395,  236 020,  216 698,  195 459,  165 753,  143 009,  134 361,  114 159,  91 042,  67 381,  46 095,  28 339,  13 657,  5 020,  1 235,   196,22,74.94033156
14,WORLD,1964,  469 079,  408 650,  362 114,  292 328,  251 004,  239 439,  218 467,  199 554,  171 491,  142 639,  136 230,  116 650,  93 447,  69 219,  46 926,  29 245,  14 064,  5 158,  1 281,   202,23,75.5385932
15,WORLD,1965,  485 580,  410 218,  373 050,  306 485,  252 362,  242 254,  220 397,  203 484,  176 158,  144 409,  137 286,  119 031,  95 792,  71 146,  48 125,  29 922,  14 515,  5 327,  1 335,   213,23,75.85436796
16,WORLD,1966,  501 365,  411 641,  382 487,  320 271,  255 990,  244 306,  223 246,  206 717,  180 452,  148 228,  137 214,  121 150,  97 985,  73 226,  49 515,  30 499,  14 990,  5 498,  1 391,   223,23,75.99132064
17,WORLD,1967,  511 646,  416 578,  391 045,  333 031,  263 650,  245 147,  226 971,  209 161,  185 045,  153 095,  136 347,  123 161,  100 168,  75 385,  51 051,  31 032,  15 545,  5 687,  1 447,   233,24,75.90301668
18,WORLD,1968,  515 804,  429 146,  398 645,  345 351,  274 077,  245 286,  230 705,  211 154,  189 424,  158 911,  135 231,  125 099,  102 411,  77 587,  52 650,  31 526,  16 154,  5 884,  1 497,   243,25,75.7892405
19,WORLD,1969,  520 143,  445 916,  402 968,  356 948,  286 405,  245 982,  234 085,  212 812,  193 470,  164 616,  134 944,  126 851,  104 818,  79 761,  54 160,  32 131,  16 718,  6 096,  1 552,   253,26,75.68058272
20,WORLD,1970,  526 219,  462 383,  404 660,  367 945,  300 630,  247 447,  236 937,  214 671,  197 364,  169 390,  136 826,  127 855,  107 056,  81 889,  55 720,  32 982,  17 171,  6 332,  1 622,   266,27,75.45959678
21,WORLD,1971,  532 881,  478 168,  406 101,  377 354,  314 438,  251 210,  239 026,  217 588,  200 574,  173 711,  140 769,  127 729,  109 085,  83 864,  57 457,  34 057,  17 565,  6 583,  1 694,   281,29,75.23551678
22,WORLD,1972,  539 731,  488 551,  411 085,  385 730,  327 065,  258 994,  239 965,  221 437,  203 071,  178 143,  145 746,  126 820,  111 109,  85 813,  59 328,  35 288,  17 957,  6 872,  1 770,   296,30,74.91645757
23,WORLD,1973,  544 571,  492 871,  423 621,  393 216,  339 241,  269 459,  240 283,  225 303,  205 208,  182 444,  151 643,  125 814,  113 067,  87 906,  61 264,  36 579,  18 363,  7 201,  1 854,   311,32,74.56864609
