,Country Name,Share +65,Healthcare costs
0,Africa Eastern and Southern,3.146361742,6.272034089
1,Afghanistan,2.417753839,13.24220181
2,Africa Western and Central,2.898528557,3.366085893
3,Angola,2.575997135,2.53335953
4,Andorra,13.84278847,6.71158504
5,Arab World,4.252383078,5.086955132
6,United Arab Emirates,1.471021989,4.27504921
7,Argentina,11.60059823,9.5100708
8,Armenia,12.02424377,11.33526421
9,Antigua and Barbuda,9.428821112,4.44295979
10,Australia,15.93194154,9.91078568
11,Austria,18.93011208,10.43403149
12,Azerbaijan,6.241042855,4.03829002
13,Burundi,2.442694376,7.99091434
14,Belgium,19.01177683,10.65604973
15,Benin,3.090360283,2.38842916
16,Burkina Faso,2.565269476,5.46494246
17,Bangladesh,5.443869725,2.48357606
18,Bulgaria,21.94998903,7.12611389
19,Bahrain,2.948188933,4.01147509
20,"Bahamas, The",7.967851255,5.74977493
21,Bosnia and Herzegovina,17.23088995,9.04909897
22,Belarus,16.21575049,5.86133957
23,Belize,4.661715005,5.96689224
24,Bolivia,4.986119713,6.9233799
25,Brazil,8.995409204,9.5912714
26,Barbados,14.62401782,6.29990387
27,Brunei Darussalam,5.138586252,2.16031361
28,Bhutan,5.950089842,3.60761595
29,Botswana,3.467354002,6.04836559
30,Central African Republic,2.436246772,7.75300884
31,Canada,17.5606627,10.84447765
32,Central Europe and the Baltics,18.82283665,6.714984499
33,Switzerland,18.55694219,11.29148102
34,Chile,12.12540643,9.33272362
35,China,12.02211581,5.3502779
36,Cote d'Ivoire,2.400978203,3.29862952
37,Cameroon,2.759351837,3.59539533
38,"Congo, Dem. Rep.",3.019821935,3.53626084
39,"Congo, Rep.",2.617025678,2.08331084
40,Colombia,8.204019269,7.70943594
41,Comoros,4.320556875,5.17030334
42,Cabo Verde,5.30153952,4.93621731
43,Costa Rica,9.885492892,7.27393246
44,Caribbean small states,7.864779542,6.310426352
45,Cuba,15.28634704,11.34020519
46,Cyprus,13.85334827,7.00903225
47,Czechia,19.82028156,7.83470726
48,Germany,21.7302904,11.69724941
49,Djibouti,4.404912877,1.79826784
50,Dominica,9.156073249,5.46006632
51,Denmark,19.80256486,9.95583057
52,Dominican Republic,6.760222783,5.929142
53,Algeria,5.855036703,6.24337101
54,East Asia & Pacific (excluding high income),10.43584631,5.070689715
55,Early-demographic dividend,5.984639668,4.741669696
56,East Asia & Pacific,11.68834067,6.669556645
57,Europe & Central Asia (excluding high income),11.87404906,5.386533506
58,Europe & Central Asia,16.54555007,9.364814024
59,Ecuador,7.409863518,7.81824684
60,"Egypt, Arab Rep.",4.627644387,4.73997355
61,Euro area,20.90321857,10.21887022
62,Eritrea,3.969068983,4.45876694
63,Spain,19.4846195,9.13213158
64,Estonia,19.90221083,6.7304492
65,Ethiopia,3.103883262,3.23808599
66,European Union,20.45972635,9.915046928
67,Fragile and conflict affected situations,4.009351412,4.511619921
