Date,GRA Purchases,PRGT 1/2/,Original Totals,Year,,Year,Totals,World GDP (billions),Loans / Global GDP,Loans to GDP
08/31/2022,93769635059,15254184552,1.09E+11,2022,,2022,1.09E+11,103867.109,0.00105,0.104964893
12/31/2021,89474552025,14554823681,1.04E+11,2021,,2021,1.04E+11,96292.574,0.00108,0.108034291
12/31/2020,93408630285,12481816684,1.06E+11,2020,,2020,1.06E+11,85238.623,0.00124,0.124227722
12/31/2019,66945509865,6590835450,73536345315,2019,,2019,73536345315,87536.338,0.00084,0.08400665
12/31/2018,55395611392,6426181029,61821792421,2018,,2018,61821792421,86084.955,0.00072,0.071814863
12/31/2017,39585385873,6522280669,46107666542,2017,,2017,46107666542,80945.405,0.00057,0.056961438
12/31/2016,49267630851,6482647937,55750278788,2016,,2016,55750278788,76267.375,0.00073,0.073098463
12/31/2015,50757840741,6575911158,57333751899,2015,,2015,57333751899,75042.63,0.00076,0.076401576
12/31/2014,69041563463,6292755583,75334319046,2014,,2014,75334319046,79321.72,0.00095,0.094973128
12/31/2013,83899249061,6174392682,90073641743,2013,,2013,90073641743,77290.82,0.00117,0.116538603
12/31/2012,90042348252,5766292503,95808640755,2012,,2012,95808640755,75116.959,0.00128,0.127545952
12/31/2011,87276915790,5308609594,92585525384,2011,,2011,92585525384,73747.749,0.00126,0.125543527
12/31/2010,55620104510,4819344134,60439448644,2010,,2010,60439448644,66435.818,0.00091,0.090974192
12/31/2009,37221142436,5079705286,42300847722,2009,,2009,42300847722,60731.151,0.0007,0.069652636
12/31/2008,17514964723,3972372030,21487336753,2008,,2008,21487336753,64108.44,0.00034,0.033517173
12/31/2007,6036146757,3796945581,9833092338,2007,,2007,9833092338,58443.072,0.00017,0.016825078
12/31/2006,9822640239,3844020520,13666660759,2006,,2006,13666660759,51762.962,0.00026,0.026402393
12/31/2005,28432143237,6282121668,34714264905,2005,,2005,34714264905,47792.249,0.00073,0.072635763
12/31/2004,55373766674,6766029353,62139796027,2004,,2004,62139796027,44116.922,0.00141,0.140852519
12/31/2003,65032062712,6880893268,71912955980,2003,,2003,71912955980,39193.343,0.00183,0.183482578
12/31/2002,63601058794,6868671012,70469729806,2002,,2002,70469729806,34900.086,0.00202,0.201918499
12/31/2001,53477225409,6424578684,59901804093,2001,,2001,59901804093,33788.307,0.00177,0.177285604
12/31/2000,42990531049,6331595468,49322126517,2000,,2000,49322126517,34039.874,0.00145,0.14489515
12/31/1999,51061861875,6434274362,57496136237,1999,,1999,57496136237,32949.687,0.00174,0.17449676
12/31/1998,60451017051,6288825925,66739842976,1998,,1998,66739842976,31824.477,0.0021,0.209712301
12/31/1997,46559033783,6009867422,52568901205,1997,,1997,52568901205,31979.647,0.00164,0.164382369
12/31/1996,36127472805,5881609752,42009082557,1996,,1996,42009082557,32068.872,0.00131,0.130996446
12/31/1995,35929173412,5657438528,41586611940,1995,,1995,41586611940,31199.71,0.00133,0.133291662
12/31/1994,25611676952,4599768498,30211445450,1994,,1994,30211445450,27985.29,0.00108,0.107954734
12/31/1993,25196745031,3942792899,29139537930,1993,,1993,29139537930,26039.542,0.00112,0.111904956
12/31/1992,23967172718,3804463796,27771636514,1992,,1992,27771636514,25328.261,0.0011,0.109646835
12/31/1991,23378573926,3285717796,26664291722,1991,,1991,26664291722,24492.481,0.00109,0.108867255
12/31/1990,20731851093,2571911617,23303762710,1990,,1990,23303762710,23654.018,0.00099,0.098519257
12/31/1989,22315104224,2334886562,24649990786,1989,,1989,24649990786,20122.142,0.00123,0.122501823
12/31/1988,24750004884,1773964293,26523969177,1988,,1988,26523969177,19125.335,0.00139,0.138684991
12/31/1987,28751979125,1866342930,30618322055,1987,,1987,30618322055,17008.945,0.0018,0.180013058
12/31/1986,33334905644,2013169931,35348075575,1986,,1986,35348075575,14771.979,0.00239,0.239291401
12/31/1985,35194787249,2470247948,37665035197,1985,,1985,37665035197,12523.328,0.00301,0.300758993
12/31/1984,34936772393,2769874900,37706647293,1984,,1984,37706647293,11997.41,0.00314,0.314289895
,,,,,,,,,,
,,,,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,,,,
,,,,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,,,,
