,Year,Age range,population(F),population(M)
1,1960,0-4,3860,4007
2,1960,5-9,4447,4597
3,1960,10-14,5397,5553
4,1960,15-19,4713,4748
5,1960,20-24,4303,4263
6,1960,25-29,4210,4231
7,1960,30-34,3826,3877
8,1960,35-39,3334,2838
9,1960,40-44,2750,2302
10,1960,45-49,2579,2280
11,1960,50-54,2178,2059
12,1960,55-59,1849,1814
13,1960,60-64,1516,1457
14,1960,65-69,1161,1046
15,1960,70-74,897,711
16,1960,75-79,599,386
17,1960,80-84,309,165
18,1960,85-89,111,50
19,1960,90-94,27,10
20,1960,95-99,4,1
21,1960,100+,0,0
45,1990,0-4,3145,3296
46,1990,5-9,3516,3677
47,1990,10-14,4138,4336
48,1990,15-19,4859,5095
49,1990,20-24,4334,4517
50,1990,25-29,4013,4187
51,1990,30-34,3845,3988
52,1990,35-39,4394,4497
53,1990,40-44,5294,5411
54,1990,45-49,4562,4534
55,1990,50-54,4095,4041
56,1990,55-59,3959,3804
57,1990,60-64,3533,3281
58,1990,65-69,2965,2249
59,1990,70-74,2283,1586
60,1990,75-79,1872,1244
61,1990,80-84,1203,715
62,1990,85-89,580,294
63,1990,90-94,198,85
64,1990,95-99,41,14
65,1990,100+,5,1
89,2020,0-4,2167,2266
90,2020,5-9,2487,2604
91,2020,10-14,2638,2761
92,2020,15-19,2785,2920
93,2020,20-24,2952,3086
94,2020,25-29,2972,3123
95,2020,30-34,3190,3327
96,2020,35-39,3534,3644
97,2020,40-44,4135,4256
98,2020,45-49,4780,4891
99,2020,50-54,4225,4282
100,2020,55-59,3903,3923
101,2020,60-64,3702,3643
102,2020,65-69,4172,3950
103,2020,70-74,4890,4421
104,2020,75-79,3995,3276
105,2020,80-84,3229,2355
106,2020,85-89,2492,1411
107,2020,90-94,1448,595
108,2020,95-99,556,134
109,2020,100+,112,15
