Index,Variant,Region,Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4(F),5-9(F),10-14(F),15-19(F),20-24(F),25-29(F),30-34(F),35-39(F),40-44(F),45-49(F),50-54(F),55-59(F),60-64(F),65-69(F),70-74(F),75-79(F),80-84(F),85-89(F),90-94(F),95-99(F),100+(F)
7133,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1950,  5 580,  4 784,  4 379,  4 348,  3 984,  3 432,  2 846,  2 694,  2 298,  1 988,  1 684,  1 389,  1 207,   977,   696,   428,   212,   75,   17,   2,   0
7134,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1951,  5 724,  4 647,  4 433,  4 394,  4 043,  3 536,  2 921,  2 727,  2 397,  1 996,  1 740,  1 430,  1 229,   982,   720,   443,   218,   78,   18,   2,   0
7135,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1952,  5 610,  4 675,  4 523,  4 419,  4 112,  3 646,  3 007,  2 746,  2 485,  2 018,  1 802,  1 475,  1 247,   991,   747,   459,   226,   81,   19,   2,   0
7136,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1953,  5 257,  4 906,  4 634,  4 405,  4 182,  3 738,  3 127,  2 750,  2 545,  2 074,  1 856,  1 523,  1 258,  1 010,   772,   476,   233,   84,   20,   3,   0
7137,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1954,  4 845,  5 174,  4 752,  4 359,  4 241,  3 822,  3 263,  2 753,  2 596,  2 155,  1 896,  1 571,  1 268,  1 038,   792,   494,   241,   87,   21,   3,   0
7138,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1955,  4 511,  5 427,  4 742,  4 346,  4 294,  3 893,  3 377,  2 799,  2 639,  2 246,  1 922,  1 616,  1 292,  1 068,   808,   516,   253,   92,   22,   3,   0
7139,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1956,  4 289,  5 590,  4 609,  4 402,  4 343,  3 956,  3 483,  2 878,  2 674,  2 344,  1 931,  1 672,  1 334,  1 092,   815,   536,   263,   95,   23,   3,   0
7140,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1957,  4 100,  5 493,  4 638,  4 492,  4 368,  4 024,  3 590,  2 966,  2 694,  2 431,  1 953,  1 733,  1 378,  1 110,   823,   554,   272,   98,   24,   3,   0
7141,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1958,  3 969,  5 159,  4 868,  4 601,  4 355,  4 094,  3 679,  3 085,  2 699,  2 489,  2 008,  1 785,  1 425,  1 123,   841,   572,   283,   101,   25,   4,   0
7142,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1959,  3 904,  4 766,  5 139,  4 720,  4 312,  4 154,  3 758,  3 220,  2 703,  2 537,  2 088,  1 823,  1 472,  1 136,   869,   589,   297,   106,   26,   4,   0
