Index,Variant,Region,Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4(M),5-9(M),10-14(M),15-19(M),20-24(M),25-29(M),30-34(M),35-39(M),40-44(M),45-49(M),50-54(M),55-59(M),60-64(M),65-69(M),70-74(M),75-79(M),80-84(M),85-89(M),90-94(M),95-99(M),100+(M)
7133,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1950,  5 785,  4 877,  4 441,  4 387,  3 945,  2 902,  2 403,  2 421,  2 224,  2 024,  1 722,  1 377,  1 105,   781,   498,   277,   121,   36,   6,   1,   0
7134,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1951,  5 939,  4 746,  4 496,  4 432,  4 032,  3 126,  2 417,  2 423,  2 273,  2 019,  1 780,  1 421,  1 138,   795,   515,   285,   124,   37,   7,   1,   0
7135,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1952,  5 816,  4 793,  4 587,  4 458,  4 108,  3 375,  2 451,  2 414,  2 310,  2 023,  1 842,  1 468,  1 167,   816,   536,   294,   128,   39,   8,   1,   0
7136,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1953,  5 449,  5 049,  4 701,  4 441,  4 177,  3 597,  2 540,  2 386,  2 330,  2 050,  1 890,  1 516,  1 189,   849,   556,   303,   131,   40,   8,   1,   0
7137,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1954,  5 024,  5 341,  4 822,  4 391,  4 230,  3 774,  2 694,  2 352,  2 348,  2 092,  1 922,  1 565,  1 207,   888,   575,   313,   135,   41,   8,   1,   0
7138,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1955,  4 678,  5 617,  4 814,  4 377,  4 275,  3 899,  2 887,  2 346,  2 361,  2 142,  1 937,  1 612,  1 237,   926,   592,   327,   140,   43,   9,   1,   0
7139,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1956,  4 449,  5 789,  4 686,  4 433,  4 317,  3 987,  3 115,  2 365,  2 368,  2 192,  1 935,  1 670,  1 280,   957,   606,   339,   145,   45,   9,   1,   0
7140,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1957,  4 256,  5 683,  4 733,  4 524,  4 338,  4 061,  3 363,  2 400,  2 361,  2 228,  1 941,  1 726,  1 321,   982,   621,   350,   148,   45,   9,   1,   0
7141,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1958,  4 123,  5 334,  4 984,  4 636,  4 320,  4 128,  3 581,  2 491,  2 336,  2 248,  1 968,  1 770,  1 366,  1 001,   647,   362,   153,   47,   9,   1,   0
7142,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1959,  4 056,  4 928,  5 274,  4 756,  4 272,  4 182,  3 754,  2 645,  2 304,  2 266,  2 009,  1 800,  1 412,  1 019,   681,   376,   159,   49,   10,   1,   0
7143,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1960,  4 007,  4 597,  5 553,  4 748,  4 263,  4 231,  3 877,  2 838,  2 302,  2 280,  2 059,  1 814,  1 457,  1 046,   711,   386,   165,   50,   10,   1,   0
7144,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1961,  3 981,  4 379,  5 729,  4 627,  4 324,  4 281,  3 967,  3 064,  2 323,  2 289,  2 109,  1 812,  1 509,  1 082,   736,   394,   170,   51,   11,   1,   0
7145,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1962,  4 002,  4 199,  5 629,  4 681,  4 418,  4 315,  4 044,  3 310,  2 361,  2 285,  2 145,  1 820,  1 563,  1 120,   757,   405,   176,   52,   11,   1,   0
7146,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1963,  4 043,  4 075,  5 291,  4 936,  4 537,  4 313,  4 116,  3 528,  2 453,  2 263,  2 166,  1 849,  1 605,  1 162,   774,   425,   182,   54,   11,   1,   0
7147,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1964,  4 094,  4 016,  4 897,  5 229,  4 667,  4 282,  4 175,  3 701,  2 606,  2 237,  2 186,  1 891,  1 634,  1 204,   791,   450,   190,   56,   12,   1,   0
7148,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1965,  4 188,  3 975,  4 579,  5 509,  4 676,  4 286,  4 229,  3 827,  2 797,  2 238,  2 201,  1 941,  1 648,  1 245,   814,   472,   196,   58,   12,   2,   0
7149,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1966,  4 200,  3 956,  4 374,  5 684,  4 575,  4 354,  4 287,  3 920,  3 021,  2 263,  2 211,  1 991,  1 649,  1 295,   844,   490,   201,   61,   13,   2,   0
7150,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1967,  4 224,  3 983,  4 205,  5 590,  4 644,  4 454,  4 329,  4 000,  3 262,  2 305,  2 210,  2 029,  1 661,  1 346,   879,   509,   211,   64,   14,   2,   0
7151,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1968,  4 342,  4 029,  4 090,  5 264,  4 903,  4 584,  4 333,  4 075,  3 477,  2 397,  2 194,  2 051,  1 693,  1 388,   916,   524,   225,   68,   14,   2,   0
7152,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1969,  4 426,  4 085,  4 037,  4 885,  5 190,  4 742,  4 301,  4 136,  3 651,  2 547,  2 173,  2 073,  1 736,  1 416,   953,   538,   240,   71,   15,   2,   0
