,Year,Age range,population
0,1960,0-4,  7 867
1,1960,5-9,  9 045
2,1960,10-14,  10 950
3,1960,15-19,  9 461
4,1960,20-24,  8 566
5,1960,25-29,  8 441
6,1960,30-34,  7 703
7,1960,35-39,  6 172
8,1960,40-44,  5 052
9,1960,45-49,  4 859
10,1960,50-54,  4 237
11,1960,55-59,  3 662
12,1960,60-64,  2 972
13,1960,65-69,  2 206
14,1960,70-74,  1 608
15,1960,75-79,   985
16,1960,80-84,   474
17,1960,85-89,   161
18,1960,90-94,   38
19,1960,95-99,   5
20,1960,100+,0
21,1990,0-4,  6 441
22,1990,5-9,  7 192
23,1990,10-14,  8 474
24,1990,15-19,  9 953
25,1990,20-24,  8 850
26,1990,25-29,  8 200
27,1990,30-34,  7 834
28,1990,35-39,  8 891
29,1990,40-44,  10 705
30,1990,45-49,  9 096
31,1990,50-54,  8 136
32,1990,55-59,  7 763
33,1990,60-64,  6 815
34,1990,65-69,  5 215
35,1990,70-74,  3 869
36,1990,75-79,  3 115
37,1990,80-84,  1 919
38,1990,85-89,   874
39,1990,90-94,   283
40,1990,95-99,   56
41,1990,100+,6
42,2020,0-4,  4 434
43,2020,5-9,  5 091
44,2020,10-14,  5 399
45,2020,15-19,  5 704
46,2020,20-24,  6 037
47,2020,25-29,  6 094
48,2020,30-34,  6 517
49,2020,35-39,  7 178
50,2020,40-44,  8 390
51,2020,45-49,  9 670
52,2020,50-54,  8 507
53,2020,55-59,  7 827
54,2020,60-64,  7 345
55,2020,65-69,  8 122
56,2020,70-74,  9 311
57,2020,75-79,  7 272
58,2020,80-84,  5 584
59,2020,85-89,  3 903
60,2020,90-94,  2 043
61,2020,95-99,   690
62,2020,100+,127
