,Region,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
144,Japan,1950,  11 365,  9 662,  8 820,  8 736,  7 929,  6 334,  5 249,  5 115,  4 522,  4 013,  3 405,  2 766,  2 312,  1 758,  1 194,   705,   333,   111,   23,   3,0
145,Japan,1951,  11 663,  9 393,  8 929,  8 826,  8 075,  6 662,  5 339,  5 151,  4 670,  4 015,  3 520,  2 851,  2 367,  1 777,  1 236,   727,   342,   115,   25,   3,0
146,Japan,1952,  11 427,  9 468,  9 110,  8 876,  8 219,  7 020,  5 458,  5 160,  4 795,  4 042,  3 644,  2 942,  2 414,  1 807,  1 283,   753,   354,   120,   27,   3,0
147,Japan,1953,  10 706,  9 955,  9 335,  8 845,  8 359,  7 336,  5 668,  5 136,  4 875,  4 125,  3 746,  3 040,  2 447,  1 859,  1 328,   779,   364,   123,   28,   3,0
148,Japan,1954,  9 869,  10 516,  9 575,  8 750,  8 472,  7 596,  5 957,  5 104,  4 944,  4 247,  3 817,  3 136,  2 474,  1 925,  1 367,   808,   376,   127,   29,   4,0
149,Japan,1955,  9 189,  11 044,  9 556,  8 723,  8 569,  7 792,  6 264,  5 146,  5 000,  4 389,  3 860,  3 229,  2 530,  1 994,  1 400,   843,   393,   134,   31,   4,0
150,Japan,1956,  8 738,  11 379,  9 295,  8 835,  8 659,  7 943,  6 599,  5 243,  5 043,  4 537,  3 866,  3 342,  2 614,  2 050,  1 421,   875,   408,   140,   32,   4,0
151,Japan,1957,  8 356,  11 176,  9 371,  9 016,  8 707,  8 085,  6 953,  5 366,  5 055,  4 659,  3 894,  3 459,  2 699,  2 093,  1 444,   904,   420,   143,   33,   4,0
152,Japan,1958,  8 092,  10 493,  9 852,  9 238,  8 675,  8 221,  7 260,  5 577,  5 035,  4 736,  3 976,  3 555,  2 792,  2 124,  1 489,   934,   436,   148,   34,   5,0
153,Japan,1959,  7 960,  9 694,  10 413,  9 476,  8 584,  8 336,  7 512,  5 866,  5 007,  4 803,  4 097,  3 623,  2 885,  2 155,  1 550,   964,   456,   155,   36,   5,0
154,Japan,1960,  7 867,  9 045,  10 950,  9 461,  8 566,  8 441,  7 703,  6 172,  5 052,  4 859,  4 237,  3 662,  2 972,  2 206,  1 608,   985,   474,   161,   38,   5,0
155,Japan,1961,  7 816,  8 615,  11 295,  9 213,  8 687,  8 545,  7 856,  6 504,  5 151,  4 904,  4 382,  3 669,  3 079,  2 283,  1 655,   998,   491,   167,   39,   5,0
156,Japan,1962,  7 853,  8 255,  11 105,  9 307,  8 878,  8 614,  8 006,  6 857,  5 277,  4 922,  4 504,  3 700,  3 190,  2 364,  1 695,  1 016,   507,   172,   40,   5,0
157,Japan,1963,  7 929,  8 008,  10 438,  9 800,  9 115,  8 609,  8 154,  7 164,  5 489,  4 910,  4 584,  3 783,  3 283,  2 452,  1 727,  1 053,   526,   178,   41,   6,0
158,Japan,1964,  8 027,  7 890,  9 658,  10 368,  9 375,  8 547,  8 279,  7 419,  5 778,  4 891,  4 654,  3 902,  3 350,  2 540,  1 758,  1 102,   545,   187,   44,   6,0
159,Japan,1965,  8 207,  7 810,  9 029,  10 908,  9 393,  8 554,  8 394,  7 616,  6 083,  4 943,  4 714,  4 041,  3 392,  2 625,  1 806,  1 148,   557,   195,   46,   7,0
