LAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Adur,8,4,7,6,9,6,6,4,5,5,5,5,2,9,5,6,2,8,7,7,3
Allerdale,4,13,11,7,11,9,14,9,17,10,11,8,6,8,5,16,7,10,19,10,10
Amber Valley,7,8,5,4,12,7,6,6,10,10,10,10,9,18,13,11,5,18,8,11,9
Arun,18,20,14,13,10,6,11,13,11,10,15,16,10,13,14,14,10,14,22,17,12
Ashfield,14,15,9,16,16,4,9,6,6,13,8,10,8,11,9,9,9,3,15,6,11
Ashford,7,13,9,3,11,7,9,4,7,7,7,5,14,14,8,11,8,8,7,21,16
Babergh,5,9,6,7,7,7,5,9,6,6,9,3,6,8,4,9,11,6,9,8,4
Barking and Dagenham,12,12,8,8,6,6,14,16,14,6,10,13,8,13,11,10,11,8,13,14,17
Barnet,23,23,25,21,24,22,28,17,18,29,22,20,16,32,36,23,26,18,22,18,10
Barnsley,21,15,21,16,32,10,16,14,27,11,21,35,16,22,29,18,18,23,28,31,37
Barrow-in-Furness,6,12,11,10,8,3,2,6,5,2,7,7,6,9,9,8,9,11,10,14,9
Basildon,13,13,15,10,5,17,11,13,12,9,15,17,10,11,18,16,13,24,18,18,10
Basingstoke and Deane,12,18,12,10,10,7,17,12,18,13,15,20,8,16,12,14,8,7,10,14,9
Bassetlaw,16,8,5,16,10,10,3,9,9,8,13,9,15,17,11,6,20,12,18,14,15
Bath and North East Somerset,13,13,11,11,7,4,13,14,10,13,18,15,21,12,20,15,13,24,14,16,18
Bedford,10,20,11,16,13,11,13,12,12,16,15,16,11,9,12,19,11,23,14,18,20
Bexley,15,14,18,20,12,22,15,12,10,15,16,18,25,14,17,17,17,18,22,13,12
Birmingham,109,90,73,73,79,71,62,73,68,64,54,57,77,138,61,70,74,74,88,71,84
Blaby,4,8,3,6,4,6,5,8,9,1,10,6,19,5,4,12,7,10,11,5,11
Blackburn with Darwen,18,21,15,21,11,14,18,11,15,18,22,15,13,12,20,14,12,11,10,15,13
Blackpool,33,29,24,5,27,26,18,21,13,17,16,19,20,22,17,18,16,17,25,21,21
Blaenau Gwent / Blaenau Gwent,4,9,4,11,5,3,3,7,7,2,10,10,17,2,9,9,5,7,9,6,12
Bolsover,3,8,12,2,6,2,8,3,6,3,7,6,5,10,9,3,6,5,6,10,8
Bolton,14,29,26,16,25,24,31,38,32,31,40,23,30,24,24,33,31,23,28,21,23
Boston,13,5,12,7,5,5,7,2,3,6,4,6,10,7,7,7,1,4,8,10,7
"Bournemouth, Christchurch and Poole",47,40,36,34,29,39,28,45,32,41,41,30,33,33,41,36,50,41,47,43,43
Bracknell Forest,6,9,4,7,9,7,1,6,10,5,14,5,10,5,10,10,12,5,11,9,8
Bradford,44,34,33,43,54,41,41,46,28,45,44,52,58,46,44,32,42,41,40,42,50
Braintree,13,9,10,9,13,14,9,9,6,13,16,16,13,17,20,10,14,14,22,18,8
Breckland,13,14,14,12,10,16,11,7,8,6,10,18,6,8,13,11,11,20,15,12,13
Brent,23,20,22,18,14,17,19,21,23,20,20,18,21,25,28,20,16,28,17,14,16
Brentwood,3,5,3,7,3,8,5,4,5,5,8,6,7,7,5,4,7,8,14,10,6
Bridgend / Pen-y-bont ar Ogwr,10,16,18,16,11,20,20,11,4,20,37,17,20,15,22,11,21,26,13,12,18
Brighton and Hove,45,37,47,36,33,46,31,37,35,26,38,27,40,32,36,35,42,28,38,36,39
"Bristol, City of",30,24,33,23,44,35,44,45,32,43,51,32,46,59,42,39,38,48,52,42,46
Broadland,6,9,8,15,12,6,3,14,10,3,4,7,18,11,8,19,11,13,8,9,11
Bromley,24,22,25,24,17,22,19,26,15,22,22,25,19,28,21,15,19,22,23,7,13
Bromsgrove,8,4,5,5,12,4,3,5,8,6,6,7,7,9,9,8,8,6,5,5,10
Broxbourne,7,1,7,4,7,3,5,4,5,7,7,5,3,4,11,3,5,13,6,4,6
Broxtowe,8,8,7,9,7,11,6,14,3,7,7,12,6,11,6,6,8,7,7,10,15
Buckinghamshire,36,32,29,33,45,28,28,41,35,49,37,44,49,30,34,33,33,45,51,57,49
Burnley,9,9,6,11,7,8,7,10,12,3,5,8,11,7,8,3,9,10,11,13,8
Bury,16,17,21,20,17,13,14,8,21,9,16,23,14,30,14,12,13,20,12,19,28
Caerphilly / Caerffili,14,15,21,21,9,15,9,17,14,9,18,12,23,15,16,11,19,15,18,16,18
Calderdale,30,13,12,24,25,13,14,14,21,21,23,12,28,24,19,19,14,35,32,19,43
Cambridge,13,15,12,15,6,18,15,12,10,11,8,14,9,10,7,9,11,8,19,7,16
Cambridgeshire,38,56,45,44,41,49,54,57,50,38,43,46,56,51,48,45,39,66,73,49,58
Camden,25,25,30,38,27,25,33,24,20,14,18,12,18,23,20,15,20,30,19,27,9
Cannock Chase,4,8,13,12,5,9,6,13,13,7,17,8,4,8,8,8,5,15,15,11,9
Canterbury,11,12,12,14,14,13,10,9,14,10,10,10,16,14,14,16,20,16,19,14,17
