,  Ages,2020,2025,2030,2035,2040
0,  0-4,3782,3371,3323,3300,3392
1,  5-9,4147,3895,3474,3426,3403
2, 10-14,4045,4228,3969,3548,3499
3, 15-19,3684,4155,4329,4070,3649
4, 20-24,4133,3952,4398,4572,4313
5, 25-29,4477,4318,4113,4559,4732
6, 30-34,4522,4538,4368,4164,4609
7, 35-39,4404,4535,4546,4377,4175
8, 40-44,4092,4401,4529,4540,4373
9, 45-49,4304,4090,4394,4521,4533
10, 50-54,4616,4286,4074,4376,4504
11, 55-59,4511,4560,4238,4034,4334
12, 60-64,3856,4401,4454,4146,3955
13, 65-69,3355,3698,4228,4287,4001
14, 70-74,3364,3129,3460,3968,4036
15, 75-79,2404,2979,2789,3101,3576
16, 80-84,1726,1941,2426,2293,2576
17, 85-89,1050,1160,1334,1684,1619
18, 90-94,471,512,583,690,884
19, 95-99,124,139,157,184,227
20, 100 & over,15,17,20,24,29
