  Ages,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120
  0-4,"3,782","3,669","3,566","3,476","3,412","3,371","3,358","3,351","3,346","3,335","3,323","3,313","3,305","3,301","3,299","3,300","3,307","3,319","3,338","3,362","3,392","3,422","3,452","3,479","3,502","3,519","3,529","3,533","3,530","3,519","3,502","3,481","3,455","3,427","3,396","3,365","3,335","3,306","3,279","3,255","3,235","3,217","3,204","3,193","3,186","3,182","3,181","3,183","3,187","3,193","3,201","3,209","3,219","3,228","3,237","3,245","3,252","3,257","3,261","3,262","3,261","3,258","3,253","3,245","3,236","3,225","3,212","3,199","3,185","3,171","3,157","3,144","3,132","3,120","3,111","3,102","3,096","3,090","3,087","3,084","3,084","3,084","3,085","3,087","3,089","3,092","3,095","3,097","3,099","3,101","3,102","3,102","3,101","3,099","3,097","3,093","3,089","3,084","3,078","3,071","3,065"
  5-9,"4,147","4,132","4,080","4,032","3,974","3,895","3,779","3,674","3,582","3,516","3,474","3,461","3,453","3,448","3,438","3,426","3,416","3,408","3,403","3,401","3,403","3,409","3,422","3,441","3,465","3,494","3,525","3,554","3,581","3,604","3,622","3,632","3,636","3,632","3,622","3,605","3,583","3,558","3,529","3,499","3,468","3,438","3,409","3,382","3,358","3,338","3,320","3,306","3,296","3,289","3,285","3,284","3,286","3,290","3,296","3,304","3,312","3,322","3,331","3,340","3,348","3,355","3,360","3,364","3,365","3,364","3,361","3,356","3,348","3,339","3,328","3,315","3,302","3,288","3,274","3,260","3,247","3,235","3,224","3,214","3,206","3,199","3,194","3,190","3,188","3,187","3,187","3,188","3,190","3,193","3,195","3,198","3,200","3,203","3,204","3,205","3,205","3,204","3,203","3,200","3,197"
 10-14,"4,045","4,123","4,198","4,221","4,232","4,228","4,210","4,157","4,107","4,049","3,969","3,853","3,747","3,655","3,590","3,548","3,534","3,527","3,522","3,511","3,499","3,489","3,482","3,477","3,475","3,476","3,483","3,496","3,514","3,539","3,568","3,599","3,628","3,655","3,678","3,695","3,706","3,710","3,706","3,696","3,679","3,657","3,632","3,603","3,573","3,542","3,512","3,483","3,456","3,432","3,412","3,394","3,380","3,370","3,363","3,359","3,358","3,360","3,364","3,370","3,378","3,387","3,396","3,405","3,414","3,422","3,429","3,434","3,438","3,439","3,439","3,435","3,430","3,423","3,413","3,402","3,390","3,376","3,362","3,348","3,334","3,321","3,309","3,298","3,288","3,280","3,273","3,268","3,264","3,262","3,261","3,261","3,262","3,264","3,267","3,269","3,272","3,275","3,277","3,278","3,279"
 15-19,"3,684","3,748","3,851","3,972","4,066","4,155","4,231","4,303","4,324","4,334","4,329","4,311","4,258","4,208","4,150","4,070","3,954","3,848","3,757","3,691","3,649","3,636","3,628","3,623","3,613","3,601","3,591","3,583","3,578","3,577","3,578","3,585","3,597","3,616","3,641","3,670","3,701","3,730","3,757","3,780","3,797","3,808","3,812","3,808","3,798","3,781","3,759","3,734","3,705","3,675","3,644","3,614","3,585","3,558","3,534","3,514","3,496","3,483","3,472","3,465","3,461","3,460","3,462","3,467","3,473","3,480","3,489","3,498","3,507","3,516","3,524","3,531","3,537","3,540","3,542","3,541","3,538","3,532","3,525","3,515","3,504","3,492","3,479","3,465","3,451","3,437","3,424","3,411","3,400","3,391","3,382","3,375","3,370","3,367","3,364","3,364","3,364","3,365","3,367","3,369","3,372"
 20-24,"4,133","4,086","4,010","3,962","3,940","3,952","4,009","4,105","4,221","4,311","4,398","4,473","4,545","4,566","4,576","4,572","4,554","4,501","4,451","4,393","4,313","4,197","4,092","4,001","3,935","3,893","3,880","3,873","3,867","3,857","3,845","3,835","3,828","3,823","3,821","3,823","3,829","3,842","3,861","3,885","3,914","3,945","3,975","4,001","4,024","4,042","4,052","4,056","4,053","4,042","4,025","4,004","3,978","3,950","3,920","3,889","3,859","3,830","3,803","3,779","3,759","3,742","3,728","3,717","3,710","3,706","3,706","3,708","3,712","3,718","3,726","3,734","3,743","3,753","3,762","3,770","3,777","3,782","3,786","3,787","3,786","3,783","3,778","3,771","3,761","3,750","3,738","3,724","3,710","3,696","3,683","3,670","3,657","3,646","3,636","3,628","3,621","3,616","3,613","3,610","3,610"
 25-29,"4,477","4,429","4,400","4,378","4,347","4,318","4,265","4,183","4,130","4,105","4,113","4,169","4,266","4,381","4,471","4,559","4,633","4,706","4,727","4,737","4,732","4,715","4,662","4,612","4,554","4,474","4,359","4,254","4,162","4,097","4,055","4,042","4,035","4,030","4,019","4,008","3,998","3,990","3,985","3,984","3,985","3,992","4,005","4,023","4,048","4,077","4,108","4,138","4,164","4,187","4,205","4,215","4,219","4,216","4,205","4,189","4,167","4,142","4,113","4,083","4,053","4,022","3,994","3,967","3,943","3,923","3,906","3,892","3,881","3,874","3,870","3,870","3,872","3,876","3,882","3,890","3,899","3,908","3,917","3,926","3,934","3,941","3,947","3,950","3,952","3,951","3,948","3,943","3,935","3,926","3,915","3,902","3,889","3,875","3,861","3,848","3,834","3,822","3,811","3,801","3,793"
 30-34,"4,522","4,565","4,599","4,584","4,577","4,538","4,487","4,456","4,431","4,399","4,368","4,315","4,234","4,181","4,155","4,164","4,220","4,316","4,432","4,522","4,609","4,684","4,756","4,777","4,787","4,783","4,765","4,713","4,663","4,605","4,526","4,411","4,306","4,215","4,150","4,108","4,095","4,088","4,083","4,073","4,061","4,051","4,044","4,039","4,037","4,039","4,046","4,059","4,078","4,102","4,131","4,162","4,192","4,219","4,242","4,259","4,270","4,274","4,271","4,260","4,243","4,222","4,197","4,168","4,138","4,108","4,078","4,049","4,022","3,999","3,978","3,961","3,948","3,937","3,930","3,926","3,926","3,928","3,932","3,938","3,946","3,955","3,964","3,973","3,982","3,991","3,998","4,003","4,007","4,008","4,008","4,005","3,999","3,992","3,983","3,972","3,959","3,946","3,932","3,918","3,905"
 35-39,"4,404","4,419","4,435","4,473","4,511","4,535","4,577","4,609","4,593","4,585","4,546","4,495","4,464","4,439","4,407","4,377","4,324","4,243","4,191","4,165","4,175","4,230","4,327","4,442","4,532","4,619","4,693","4,766","4,787","4,797","4,793","4,776","4,723","4,674","4,616","4,538","4,423","4,318","4,228","4,163","4,122","4,109","4,102","4,097","4,087","4,075","4,066","4,058","4,054","4,052","4,054","4,061","4,074","4,093","4,117","4,146","4,177","4,207","4,234","4,257","4,275","4,285","4,289","4,286","4,276","4,259","4,238","4,213","4,185","4,155","4,124","4,095","4,066","4,040","4,016","3,996","3,979","3,965","3,955","3,948","3,944","3,944","3,946","3,950","3,957","3,964","3,973","3,982","3,992","4,001","4,009","4,016","4,022","4,025","4,027","4,026","4,023","4,018","4,011","4,002","3,991"
 40-44,"4,092","4,181","4,279","4,365","4,390","4,401","4,416","4,430","4,468","4,504","4,529","4,570","4,602","4,586","4,578","4,540","4,489","4,458","4,434","4,403","4,373","4,320","4,240","4,188","4,163","4,173","4,228","4,324","4,439","4,529","4,616","4,690","4,763","4,784","4,794","4,791","4,774","4,722","4,673","4,616","4,537","4,423","4,320","4,230","4,165","4,124","4,112","4,105","4,100","4,090","4,079","4,070","4,062","4,058","4,057","4,059","4,066","4,079","4,098","4,122","4,152","4,183","4,212","4,239","4,263","4,280","4,291","4,295","4,292","4,282","4,266","4,245","4,220","4,192","4,162","4,132","4,102","4,074","4,048","4,024","4,004","3,988","3,974","3,964","3,957","3,953","3,953","3,955","3,960","3,966","3,974","3,983","3,992","4,002","4,011","4,019","4,026","4,032","4,036","4,038","4,037"
 45-49,"4,304","4,173","4,056","3,990","4,016","4,090","4,178","4,275","4,359","4,383","4,394","4,408","4,423","4,460","4,497","4,521","4,562","4,594","4,579","4,571","4,533","4,484","4,453","4,430","4,399","4,369","4,318","4,238","4,187","4,163","4,173","4,229","4,324","4,439","4,529","4,615","4,689","4,762","4,783","4,794","4,790","4,774","4,723","4,675","4,618","4,541","4,427","4,325","4,235","4,172","4,131","4,119","4,113","4,108","4,099","4,088","4,079","4,072","4,068","4,066","4,069","4,076","4,089","4,108","4,133","4,163","4,194","4,224","4,251","4,274","4,292","4,303","4,307","4,304","4,295","4,278","4,258","4,233","4,206","4,176","4,146","4,117","4,089","4,063","4,040","4,020","4,003","3,990","3,980","3,974","3,970","3,970","3,972","3,977","3,984","3,991","4,000","4,010","4,019","4,029","4,037"
