State,State Spending,,Local Spending,,State and Local Spending,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,1.47,a,0.11,a,1.59,a,231.2,a,1.3,a,4.9,e
Alaska,2.47,a,0.06,a,2.53,a,54.5,a,0.2,a,0.7,e
Arizona,1.19,a,0.13,a,1.32,a,370,a,3.3,a,7.3,e
Arkansas,1.59,a,0.04,a,1.63,a,130.8,a,0.7,a,3,e
California,1.47,a,0.49,a,1.96,a,"3,052.70",a,3.6,a,39.4,e
Colorado,1.4,a,0.11,a,1.52,a,392.2,a,4.2,a,5.8,e
Connecticut,1.52,a,0.33,a,1.85,a,288.1,a,0.6,a,3.6,e
Delaware,0.91,a,0.12,a,1.03,a,77,a,4.1,a,1,e
District of Columbia,0,a,0.33,a,0.33,a,144.4,a,0.9,a,0.7,e
Florida,0.93,a,0.25,a,1.19,a,"1,116.40",a,3,a,21.5,e
Georgia,1.08,a,0.19,a,1.28,a,637.8,a,3.5,a,10.6,e
Hawaii,1.62,a,0,a,1.62,a,91.8,a,-0.9,a,1.4,e
Idaho,1.45,a,0,a,1.45,a,82.4,a,4,a,1.8,e
Illinois,1.62,a,0.71,a,2.33,a,890.5,a,0.5,a,12.7,e
Indiana,0.65,a,0.03,a,0.68,a,381,a,0.4,a,6.7,e
Iowa,1.26,a,0,a,1.27,a,194.3,a,0,a,3.2,e
Kansas,1.05,a,0.07,a,1.12,a,176.7,a,0.8,a,2.9,e
Kentucky,2.06,a,0.04,a,2.1,a,216.1,a,1.7,a,4.5,e
Louisiana,1.88,a,0.1,a,1.98,a,254.6,a,-0.1,a,4.7,e
Maine,1.5,a,0,a,1.5,a,68.5,a,2.2,a,1.3,e
Maryland,0.98,a,0.37,a,1.35,a,421.6,a,0.3,a,6.1,e
Massachusetts,1,a,0.37,a,1.37,a,593.3,a,2.9,a,6.9,e
Michigan,1.43,a,0.35,a,1.78,a,531.4,a,-0.1,a,10,e
Minnesota,1.34,a,0.05,a,1.39,a,383,a,0.5,a,5.6,e
Mississippi,2.52,a,0,a,2.52,a,114.7,a,0.4,a,3,e
Missouri,1.49,a,0.25,a,1.74,a,332.3,a,1.7,a,6.1,e
Montana,2,a,0,a,2.01,a,51.8,a,0.4,a,1.1,e
Nebraska,0.62,a,0.29,a,0.92,a,131.4,a,1.2,a,1.9,e
Nevada,1.45,a,0.01,a,1.47,a,181.7,a,4.1,a,3.1,e
New Hampshire,0.93,a,0.03,a,0.95,a,87.5,a,2.1,a,1.4,e
New Jersey,1.84,a,0,a,1.84,a,639.4,a,2.1,a,8.9,e
New Mexico,2.38,a,0,a,2.38,a,102,a,4.3,a,2.1,e
New York,1.22,a,0.81,a,2.03,a,"1,777.80",a,2.5,a,19.5,e
North Carolina,1.07,a,0.01,a,1.08,a,595.7,a,2.1,a,10.5,e
North Dakota,0.98,a,0.06,a,1.04,a,59,a,0.6,a,0.8,e
Ohio,2.43,a,0.02,a,2.46,a,693.2,a,2,a,11.7,e
Oklahoma,1.23,a,0.06,a,1.28,a,203.7,a,1.7,a,4,e
Oregon,2.25,a,0.08,a,2.33,a,246.6,a,2,a,4.2,e
Pennsylvania,1.3,a,0.38,a,1.68,a,799.7,a,1.7,a,12.8,e
Rhode Island,1.57,a,0.44,a,2.02,a,61.3,a,1.4,a,1.1,e
South Carolina,1.44,a,0,a,1.44,a,244.7,a,2.3,a,5.2,e
South Dakota,1.11,a,0.06,a,1.17,a,53.9,a,0.4,a,0.9,e
Tennessee,0.71,a,0.23,a,0.94,a,376.9,a,2,a,6.8,e
Texas,0.89,a,0.15,a,1.05,a,"1,864.00",a,3.2,a,29,e
All states combined,1.3,a,0.28,a,1.58,a,"21,372.60",a,2.3,a,328.3,e
Utah,0.87,a,0.01,a,0.88,a,195.1,a,4.8,a,3.2,e
Vermont,1.09,a,0.08,a,1.17,a,34.1,a,1,a,0.6,e
Virginia,0.92,a,0.21,a,1.14,a,554.3,a,2,a,8.6,e
Washington,1.14,a,0.06,a,1.19,a,597.9,a,3.9,a,7.6,e
West Virginia,1.88,a,0.08,a,1.96,a,79.1,a,-0.8,a,1.8,e
Wisconsin,1.61,a,0.18,a,1.8,a,344.7,a,1.5,a,5.8,e
Wyoming,2.03,a,0,a,2.03,a,39.6,a,1.7,a,0.6,e
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Legend:,,,,,,,,,,,,
a - actual reported,,,,,,,,,,,,
e - out-year estimate in US budget,,,,,,,,,,,,
